NUM_CAS,ADREÇA,NUMERO,ESCALA,PIS,PORTA,CODI_POSTAL,POBLACIO,COMARCA,NOM_PROVINCIA,CODI_POBLACIO,CODI_COMARCA,CODI_PROVINCIA,REFERENCIA CADASTRAL,ZONA CLIMATICA,METRES_CADASTRE,ANY_CONSTRUCCIO,US_EDIFICI,Qualificació de consum d'energia primaria no renovable,Energia primària no renovable,Qualificacio d'emissions de CO2,Emissions de CO2,Consum d'energia final,Cost anual aproximat d'energia per habitatge,VEHICLE ELECTRIC,SOLAR TERMICA,SOLAR FOTOVOLTAICA,SISTEMA BIOMASSA,XARXA DISTRICTE,ENERGIA GEOTERMICA,INFORME_INS_TECNICA_EDIFICI,Eina de certificacio,VALOR AILLAMENTS,VALOR FINESTRES,Motiu de la certificacio,VALOR AILLAMENTS CTE,VALOR FINESTRES CTE,UTM_X,UTM_Y,Normativa construcció,Tipus Tramit,TIPUS_TERCIARI,Qualificació emissions calefacció,Emissions calefacció,Qualificació emissions refrigeració,Emissions refrigeració,Qualificació emissions ACS,Emissions ACS,Qualificació emissions enllumenament,Emissions enllumenament,Qualificació energia calefacció,Energia calefacció,Qualificació energia refrigeració,Energia refrigeració,Qualificació energia ACS,Energia ACS,Qualificació energia enllumenament,Energia enllumenament,Qualificació energia calefacció demanda,Energia calefacció demanda,Qualificació energia refrigeració demanda,Energia refrigeració demanda,VENTILACIO US RESIDENCIAL,LONGITUD,LATITUD,GEOREFERÈNCIA,REHABILITACIO_ENERGETICA,ACTUACIONS_REHABILITACIO,DATA_ENTRADA,LIMADM_MUNICIPI,LIMADM COMARCA
N0VQPSHPT,Carrer DE LES MORERES,111,,,,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,5259708DF2755G0001WW,C2,931,,Terciari,D,49.8,C,8.44,25.49,4.04,NO,NO,NO,NO,NO,NO,,CE3X,0.73,4.4,Compravenda,0.49,2.1,425180.44,4575651.25,NRE-AT-87,Edificis existents,Comerç,C,6.57,C,1.87,,0,,0,E,38.77,C,11.03,,0,,0,F,28.53,C,9.92,,2.105912108772068,41.32886932624773,POINT (2.105912108772 41.328869326248),NO,,08/04/2019,503,31
NBPLFRPNQ,Carrer LLORET DE MAR,6,A,3,1,08225,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4449602DF2744G0007QP,C2,50,,Habitatge individual en bloc d'habitatges,E,114.65,D,22.01,19.48,154.45,NO,NO,NO,NO,NO,NO,,CE3X,2.38,5.17,Lloguer,0.49,2.1,424370.17,4574779.61,Abans de 1979,Edificis existents,,D,12.93,E,2.63,G,6.45,,0,D,61.05,F,15.54,G,38.06,,0,D,47.2,G,15.9,0.63,2.096339069135523,41.32094319005333,POINT (2.096339069136 41.320943190053),NO,,10/08/2018,503,31
CDM6868W4,Carrer LLeida,114,,4,2,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4652803DF2745D0018PI,C2,70,,Habitatge individual en bloc d'habitatges,E,132.12,E,31.99,0,0,,NO,NO,NO,,NO,,CE3X,0,0,Lloguer,0.49,2.1,424529.47,4575036.34,Abans de 1979,Edificis existents,,E,45.72,D,3.36,D,5.68,,0,E,218.01,F,19.85,E,26.82,,0,F,142.76,D,10.9,,2.098210356458186,41.32327038522191,POINT (2.098210356458 41.323270385222),,,03/06/2014,503,31
T281JPPHJ,Calle Urgell,4,,1,2,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4055918DF2745E0004DY,C2,61,,Vivienda individual en bloque de viviendas,E,169.67,E,35.79,141.51,531.72,NO,NO,NO,NO,NO,NO,,CE3X,2.21,4.74,Alquiler,0.49,2.1,423990.02,4575314,Abans de 1979,Edificis existents,,E,23.37,B,0.55,G,11.87,,0,E,110.35,B,3.24,G,56.07,,0,E,85.31,B,3.32,0.83,2.091730569798698,41.32572047786339,POINT (2.091730569799 41.325720477863),NO,,20/02/2018,503,31
36716TJY,Carrer Riu Llobregat,41,41,,,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,3447705DF2734E,C2,505,,Bloc d'habitatges plurifamiliar,E,172.92,E,36.4,143.59,1.12,NO,NO,NO,NO,NO,NO,,CE3X,0.91,4,Sol·licitud d'ajuts,0.49,2.1,423382.85,4574400.77,NBE-CT-79,Edificis existents,,E,26.12,B,0.89,G,9.38,,0,E,123.36,C,5.27,G,44.3,,0,E,91.01,C,4.4,,2.0845912856942,41.3174379192892,POINT (2.084591285694 41.317437919289),NO,,12/09/2021,503,31
DZCGGB6TY,Carrer Riu Túria,13,,1º,3ª,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,3542502DF2734D0007PW,C2,60,,Habitatge individual en bloc d'habitatges,E,171.09,E,33.6,123.38,10.58,NO,NO,NO,NO,NO,NO,,CE3X,1.8,5.7,Lloguer,0.49,2.1,423509.66,4574123.95,NRE-AT-87,Edificis existents,,E,23.08,B,0.88,G,9.64,,0,E,109.01,C,5.19,G,56.89,,0,E,84.28,C,5.31,,2.086141031819205,41.31495675242935,POINT (2.086141031819 41.314956752429),NO,,13/07/2021,503,31
LKQZRPXFK,Carretera BUNYOLA,12,,2,2,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4752205DF2745D0036IB,C2,60,,Vivienda individual en bloque de viviendas,E,203.98,E,42.94,169.42,10.55,NO,NO,NO,NO,NO,NO,,CE3X,2.38,4.49,Compra o Venta,0.49,2.1,424654.94,4575039.24,Abans de 1979,Edificis existents,,E,28.03,C,1.03,G,13.88,,0,E,132.36,C,6.06,G,65.56,,0,E,73.41,C,6.2,,2.099709047545204,41.32330824000018,POINT (2.099709047545 41.32330824),NO,,04/07/2019,503,31
PNDG4Q0FF,Carrer Tarragona,111,,2,1,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,5053705DF2755C0008FL,C2,67,,Habitatge individual en bloc d'habitatges,E,186.25,E,33.94,113.83,13.41,NO,NO,NO,NO,NO,NO,,CE3X,1.55,3.78,Compravenda,0.49,2.1,424973.21,4575108.8,Abans de 1979,Edificis existents,,D,14.96,B,0.61,G,18.37,,0,D,74.2,B,3.58,G,108.47,,0,E,65.28,B,3.53,,2.103502991095461,41.32396442214879,POINT (2.103502991095 41.323964422149),NO,,21/03/2024,503,31
0J59P53D9,Plaça CATALUNYA,18,,2,A,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4052708DF2745A0007XL,C2,60,,Habitatge individual en bloc d'habitatges,F,185.26,F,47.48,0,0,,NO,NO,NO,,NO,,CE3X,0,0,Lloguer,0.49,2.1,424014.44,4574995.59,Abans de 1979,Edificis existents,,E,20.55,B,1.59,G,5.52,,0,E,97.05,C,9.37,G,26.07,,0,G,75.03,C,9.6,,2.092062148653822,41.32285498949485,POINT (2.092062148654 41.322854989495),,,28/07/2015,503,31
0R78P6R5,Avenida Verge de Montserrat,108,,1,3,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4355308DF2745E0027AM,C2,60,,Vivienda individual en bloque de viviendas,E,127.88,D,21.66,65.44,622.62,NO,NO,NO,NO,NO,NO,,CE3X,2,3.66,Compra o Venta,0.49,2.1,424269.59,4575342.82,Abans de 1979,Edificis existents,,C,9.23,A,0.39,G,12.04,,0,D,54.51,B,2.32,G,71.05,,0,E,63.77,B,2.45,0.83,2.095067256213213,41.32600635974736,POINT (2.095067256213 41.326006359747),NO,,23/03/2018,503,31
04H4G1FVH,Carrer MANUEL BERTRAND,90,,1º,,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4458412DF2745G0002SX,C2,87,,Habitatge individual en bloc d'habitatges,F,226.38,E,44.97,167.19,1185.95,NO,NO,NO,NO,NO,NO,,CE3X,1.92,4.04,Compravenda,0.49,2.1,424390.93,4575675.66,Abans de 1979,Edificis existents,,E,33.09,B,0.57,G,11.31,,0,E,156.26,B,3.34,G,66.78,,0,G,120.81,B,3.42,0.63,2.096475607324698,41.329015507261886,POINT (2.096475607325 41.329015507262),NO,,21/10/2018,503,31
5LR6YJF8T,Carrer Lleida,114,,2,3,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4652803DF2745D0011EQ,C2,61,,Habitatge individual en bloc d'habitatges,E,153.51,E,30.53,49.62,5.93,NO,NO,NO,NO,NO,NO,,CE3X,1.69,3.78,Compravenda,0.49,2.1,424529.47,4575036.34,Abans de 1979,Edificis existents,,E,22.94,B,0.72,G,6.87,,0,E,116.77,C,4.24,G,32.5,,0,E,88.68,B,3.75,,2.098210356458186,41.32327038522191,POINT (2.098210356458 41.323270385222),NO,,18/10/2022,503,31
XDBWNMR0H,Carrer PALAMÓS,5,,3er,3,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4752209DF2745D0015YT,C2,64,,Habitatge individual en bloc d'habitatges,G,304.41,F,56.54,194.32,21.14,NO,NO,NO,NO,NO,NO,,CE3X,2,3.44,Compravenda,0.49,2.1,424600.71,4575039.98,Abans de 1979,Edificis existents,,E,31.57,A,0.13,G,24.84,,0,F,186.34,A,0.78,G,117.29,,0,G,137.04,A,0.55,,2.099061043409317,41.323309834991,POINT (2.099061043409 41.323309834991),NO,,28/03/2021,503,31
Y71602NQT,Calle LLEIDA,41,,,,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4050801DF2745A0010XL,C2,138,,Terciario,C,176.86,C,30,90.81,14.33,NO,NO,NO,NO,NO,NO,,CE3X,1.8,3.78,Certificación voluntaria,0.49,2.1,423998.97,4574823.35,NBE-CT-79,Edificis existents,Oficinas,G,6.15,B,3.14,G,5.01,B,15.69,G,36.07,B,18.54,G,29.6,B,92.65,G,69.9,C,32.25,,2.091898859909323,41.32130223454998,POINT (2.091898859909 41.32130223455),NO,,31/07/2023,503,31
5NBG0LG3Q,Carrer Girona,57,,bx,,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4249315DF2744G0002ZT,C2,63.02,,Habitatge individual en bloc d'habitatges,G,221.29,G,57.01,36.27,362.45,,NO,NO,NO,,NO,,CE3X,2.13,5.03,Lloguer,0.49,2.1,424099.99,4574741.31,Abans de 1979,Edificis existents,,F,44.1,E,2.88,E,4.51,,0,F,208.25,G,17,F,21.31,,0,G,161,D,8.99,0.63,2.093116000320443,41.32057284874072,POINT (2.09311600032 41.320572848741),,,19/11/2014,503,31
2Y2N7GTV1,Carrer Cerdanya,83,,4,1,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,3854404DF2735D0001HD,C2,50,,Habitatge individual en bloc d'habitatges,G,373.3,G,73.54,62.24,9.87,NO,NO,NO,NO,NO,NO,,CE3X,2.16,5.7,Lloguer,0.49,2.1,423749.92,4575297.37,Abans de 1979,Edificis existents,,G,51.52,C,1.42,G,20.6,,0,G,243.29,D,8.39,G,121.62,,0,G,188.09,D,8.59,,2.088863966112158,41.325548024049276,POINT (2.088863966112 41.325548024049),NO,,09/07/2019,503,31
VGPBJ6W2Y,Carrer Coronel Sanfeliu,5,,2º,3ª,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4354403DF2745C0061PR,C2,71.01,,Habitatge individual en bloc d'habitatges,E,120.35,E,30.41,18.69,1.13,,NO,NO,NO,,NO,,CE3X,2.45,5.7,Lloguer,0.49,2.1,424234.08,4575287.82,Abans de 1979,Edificis existents,,E,33.9,A,0.96,F,7.55,,0,E,128.5,B,5.69,F,28.63,,0,E,78.69,B,5.83,,2.09464984121601,41.325507660022936,POINT (2.094649841216 41.325507660023),,,20/05/2014,503,31
0TW3WZJX1,Carrer Rosa Ribas i Parellada,20,,Loc,2,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4053113DF2745C0002HO,C2,49,,Terciari,C,132.54,B,22.45,67.83,10.76,NO,NO,NO,NO,NO,NO,,CE3X,1.8,5.7,Lloguer,0.49,2.1,423876.9,4575062.1,NBE-CT-79,Edificis existents,Local,G,17,A,0.21,A,0,A,5.25,G,100.36,A,1.21,A,0,A,30.97,G,72.57,A,1.12,,2.090410575835233,41.32344104347693,POINT (2.090410575835 41.323441043477),NO,,15/02/2022,503,31
JVLCK6GM3,Plaza la Granja,1,2,3,4,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4046505DF2744E0017WX,C2,61,,Vivienda individual en bloque de viviendas,E,180.91,E,38.07,149.77,4609.57,NO,NO,NO,NO,NO,NO,,CE3X,1.94,5.17,Compra o Venta,0.49,2.1,424013.92,4574476.03,Abans de 1979,Edificis existents,,E,21.67,B,0.87,G,15.53,,0,E,102.33,C,5.16,G,73.42,,0,E,79.11,C,5.28,0.83,2.092120885010139,41.318175469876714,POINT (2.09212088501 41.318175469877),NO,,08/06/2018,503,31
