NUM_CAS,ADREÇA,NUMERO,ESCALA,PIS,PORTA,CODI_POSTAL,POBLACIO,COMARCA,NOM_PROVINCIA,CODI_POBLACIO,CODI_COMARCA,CODI_PROVINCIA,REFERENCIA CADASTRAL,ZONA CLIMATICA,METRES_CADASTRE,ANY_CONSTRUCCIO,US_EDIFICI,Qualificació de consum d'energia primaria no renovable,Energia primària no renovable,Qualificacio d'emissions de CO2,Emissions de CO2,Consum d'energia final,Cost anual aproximat d'energia per habitatge,VEHICLE ELECTRIC,SOLAR TERMICA,SOLAR FOTOVOLTAICA,SISTEMA BIOMASSA,XARXA DISTRICTE,ENERGIA GEOTERMICA,INFORME_INS_TECNICA_EDIFICI,Eina de certificacio,VALOR AILLAMENTS,VALOR FINESTRES,Motiu de la certificacio,VALOR AILLAMENTS CTE,VALOR FINESTRES CTE,UTM_X,UTM_Y,Normativa construcció,Tipus Tramit,TIPUS_TERCIARI,Qualificació emissions calefacció,Emissions calefacció,Qualificació emissions refrigeració,Emissions refrigeració,Qualificació emissions ACS,Emissions ACS,Qualificació emissions enllumenament,Emissions enllumenament,Qualificació energia calefacció,Energia calefacció,Qualificació energia refrigeració,Energia refrigeració,Qualificació energia ACS,Energia ACS,Qualificació energia enllumenament,Energia enllumenament,Qualificació energia calefacció demanda,Energia calefacció demanda,Qualificació energia refrigeració demanda,Energia refrigeració demanda,VENTILACIO US RESIDENCIAL,LONGITUD,LATITUD,GEOREFERÈNCIA,REHABILITACIO_ENERGETICA,ACTUACIONS_REHABILITACIO,DATA_ENTRADA,LIMADM_MUNICIPI,LIMADM COMARCA
CK89NMFZ3,Carrer Esplugues de LLobregat 65 i Jardi Mon Recó,5,,,,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,,C2,455,,Bloc d'habitatges plurifamiliar,B,34.7,A,5.88,17.76,0.56,NO,NO,NO,NO,NO,NO,,HULC,0.41,2.72,Nova construcció,0.49,2.1,,,CTE 2013,Edificis acabats,,A,2.84,C,1.36,A,1.67,,,B,16.78,D,8.05,B,9.87,,,C,20.14,C,6.51,,,,,,,07/10/2021,,
MX46KM7S,Lugar AEROPUERTO JOSEP TARRADELLAS BARCELONA-EL PRAT,S/N,,,,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,3125143DF2732E0000KH,C2,1610,,Terciario,C,176.98,C,29.98,90.57,14.36,NO,NO,NO,NO,NO,NO,,CE3X,0.73,3.13,"Edificios o partes de edificios (+500 m2) de uso administrativo, sanitario, comercial, docente, restauración...",0.49,2.1,,,CTE 2006,Edificis existents,Oficinas,C,22.32,A,0.22,F,1.29,B,6.15,D,131.76,A,1.28,F,7.63,B,36.31,D,77.95,A,0.95,,,,,NO,,11/06/2022,,
2QXQ1MLM7,Carrer Enric Borràs,35,,,,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4661407DF2745B,C2,894.6,,Bloc d'habitatges plurifamiliar,E,148.97,E,33.17,0,0,,NO,NO,NO,,NO,,CE3X,0,0,Sol·licitud d'ajuts,0.49,2.1,,,Abans de 1979,Edificis existents,,E,27.58,C,1.15,F,5.31,,0,E,130.22,D,6.82,G,25.08,,0,F,100.67,D,6.98,,,,,,,18/11/2015,,
NY3JFX1WF,Carrer Ferran Puig,32,,1,1,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4259132DF2745G0001IZ,C2,76,,Habitatge unifamiliar,E,132.72,E,27.7,108.41,7.03,NO,NO,NO,NO,NO,NO,,CE3X,2.38,3.44,Compravenda,0.49,2.1,,,Abans de 1979,Edificis existents,,E,22.15,C,1.61,D,3.95,,0,E,104.57,D,9.49,E,18.65,,0,E,54.31,D,9.72,,,,,NO,,02/09/2020,,
KKSKDKC4V,Calle PINTOR ISIDRO NONELL,113,,,,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4661415DF2746B0001XH,C2,190,,Vivienda unifamiliar,B,43.67,A,7.66,24.34,3.36,NO,NO,NO,NO,NO,NO,,CE3X,0.29,3.44,Certificación voluntaria,0.49,2.1,,,CTE 2019,Edificis existents,,A,5.91,A,0.46,A,1.29,,0,B,34.87,A,2.72,A,6.08,,0,B,31.46,A,2.39,,,,,NO,,03/11/2021,,
6VXLF3BDR,Carrer Riu Llobregat,92,,,,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,3844102DF2734D0016OI,C2,3666,,Terciari,C,158.28,C,31.19,114.93,9.71,NO,NO,NO,NO,NO,NO,,CE3X,0.98,4.48,Certificació voluntària,0.49,2.1,,,NBE-CT-79,Edificis existents,Local,G,21.05,B,1.72,F,0.99,A,7.43,G,99.59,B,10.13,E,4.68,A,43.88,G,69.8,B,9.28,,,,,NO,,22/06/2020,,
F9CQKR6LV,Passatge de l'estació,S/N,,,,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,--------------,C2,154.53,,Terciari,C,268.88,B,45.55,137.6,3371.77,NO,NO,NO,NO,NO,NO,,CE3X,0.73,0,Certificació voluntària,0.49,2.1,,,CTE 2006,Edificis existents,Oficines,C,21.36,A,0.23,G,10.26,A,13.69,D,126.11,A,1.37,G,60.58,A,80.82,G,218.46,A,1.94,,,,,NO,,20/03/2018,,
YL8FC95RR,Lugar AEROPUERTO JOSEP TARRADELLAS BARCELONA-EL PRAT,S/N,,,,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,3125134DF2732E0000PH,C2,680,,Terciario,D,469.49,C,79.53,240.27,38.1,NO,NO,NO,NO,NO,NO,,CE3X,1.8,3.55,"Edificios o partes de edificios (+500 m2) de uso administrativo, sanitario, comercial, docente, restauración...",0.49,2.1,,,NBE-CT-79,Edificis existents,Otros,D,42.38,C,3.96,F,14.96,B,18.24,F,250.16,C,23.36,F,88.32,B,107.65,F,161.69,C,19.88,,,,,NO,,11/06/2022,,
8LY1852T3,Lugar AEROPUERTO JOSEP TARRADELLAS BARCELONA-EL PRAT,S/N,,,,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,3125140DF2732E0000FH,C2,530,,Terciario,C,186.24,C,31.55,95.31,15.11,NO,NO,NO,NO,NO,NO,,CE3X,0.73,3.55,"Edificios o partes de edificios (+500 m2) de uso administrativo, sanitario, comercial, docente, restauración...",0.49,2.1,,,CTE 2006,Edificis existents,Oficinas,B,20.53,A,0.02,F,1.29,C,9.71,C,121.17,A,0.1,F,7.63,C,57.34,D,83.65,A,0.09,,,,,NO,,11/06/2022,,
K19RCGCZR,Carrer Joan Maragall,39,B,,,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4660150DF2746B0001TH,C2,89,,Habitatge unifamiliar,A,36.06,A,7.44,4.9,0.35,NO,NO,NO,NO,NO,NO,,CERMA,0.38,1.84,Compravenda,0.49,2.1,,,CTE 2013,Edificis existents,,A,3.14,A,0.79,B,3.51,,,A,14.81,B,4.67,C,16.58,,,A,13.25,A,2.9,,,,,NO,,10/09/2020,,
3FFK4GM6W,Carrer TERESA PÀMIES,41,,,,08020,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,,C2,3463,,Bloc d'habitatges plurifamiliar,A,23.18,A,4.73,18.07,0.04,NO,NO,NO,NO,NO,NO,,HULC,0.27,1.7,Nova construcció,0.49,2.1,,,CTE 2013,Edificis acabats,,A,2.44,B,0.73,A,1.57,,,B,11.5,C,4.29,A,7.4,,,B,8.69,C,4.4,,,,,,,04/10/2021,,
4S1HG4N1P,Lugar AEROPUERTO JOSEP TARRADELLAS BARCELONA-EL PRAT,S/N,,,,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,3125101DF2732E0000QH,C2,744,,Terciario,D,202.25,D,34.26,103.51,16.41,NO,NO,NO,NO,NO,NO,,CE3X,0.73,3.5,"Edificios o partes de edificios (+500 m2) de uso administrativo, sanitario, comercial, docente, restauración...",0.49,2.1,,,CTE 2006,Edificis existents,Oficinas,C,16.45,E,4.71,G,1.96,D,11.14,D,97.11,E,27.83,G,11.55,D,65.76,E,59.29,D,20.02,,,,,NO,,11/06/2022,,
3103YSZJF,Carrer de Cal LLuquer,38,,,,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,7939509DF2773H0002LO,C2,626,,Terciari,C,231.27,B,41.57,136.91,17.05,NO,NO,NO,NO,NO,NO,,CE3X,0.52,4.29,"Edificis o parts d’edificis (+500 m2) amb ús administratiu, sanitari, comercial, docent, restauració",0.49,2.1,,,NRE-AT-87,Edificis existents,Oficines en edifici industrial,B,25.94,A,0.71,B,1.84,D,12.96,C,138.98,A,4.21,B,10.85,D,76.5,D,151.51,B,5.12,,,,,NO,,21/07/2022,,
JDNDBFVM4,Carrer Riu Llobregat,49,,,,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,3447794DF2734E,C2,660,,Bloc d'habitatges,E,124.8,E,26.43,104.87,0.79,NO,NO,NO,NO,NO,NO,,CE3X,0.6,3.78,Sol·licitud d'ajuts,0.49,2.1,,,NBE-CT-79,Edificis existents,,E,19.87,A,0,G,6.56,,0,E,93.83,A,0,G,30.97,,0,E,69.86,A,0,,,,,NO,,25/09/2022,,
2F7SKN0F3,Carrer D'ERNEST LLUCH,27,E,,,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,,C2,1471,,Bloc d'habitatges plurifamiliar,B,29.82,A,6.04,22.96,0.11,NO,NO,NO,NO,NO,NO,,HULC,0.27,1.84,Nova construcció,0.49,2.1,,,CTE 2013,Edificis acabats,,A,3.17,C,1.08,A,1.79,,,B,14.97,C,6.39,A,8.46,,,B,11.8,C,6.35,,,,,,,04/03/2020,,
6FDHRSPVJ,Lloc Aeropuerto,S/N,J,OD,OS,08020,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,3125183DF2732E0000JH,C2,2472.04,,Terciari,D,271.95,C,48.5,158.08,50241.04,NO,NO,NO,NO,NO,NO,,CE3X,1.1,3.41,Certificació voluntària,0.49,2.1,,,CTE 2006,Edificis existents,Altres,C,26.16,C,2.39,G,2.79,C,17.05,D,140.06,C,14.09,G,16.5,C,100.67,E,111.92,C,14.81,0.8,,,,NO,,26/09/2017,,
8W3XLTRX5,Lugar AEROPUERTO JOSEP TARRADELLAS BARCELONA-EL PRAT,S/N,,,,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,3125157DF2732E0000WH,C2,1799,,Terciario,D,300.29,C,50.87,153.68,24.37,NO,NO,NO,NO,NO,NO,,CE3X,2.9,3.53,"Edificios o partes de edificios (+500 m2) de uso administrativo, sanitario, comercial, docente, restauración...",0.49,2.1,,,CTE 2006,Edificis existents,Oficinas,D,32.28,D,5.98,G,1.79,A,10.82,F,190.57,D,35.32,G,10.55,A,63.85,G,147.56,E,36.91,,,,,NO,,18/06/2022,,
Z2ZXBCV5L,Passeig Ramón Codina,56,,,,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,3447106DF2734F,C2,781,,Bloc d'habitatges,E,112.74,E,23.87,94.74,0.72,NO,NO,NO,NO,NO,NO,,CE3X,0.6,3.78,Sol·licitud d'ajuts,0.49,2.1,,,NBE-CT-79,Edificis existents,,E,18.33,A,0,F,5.54,,0,E,86.57,A,0,G,26.17,,0,E,66.93,A,0,,,,,NO,,24/09/2022,,
S5ZJ5KCM3,Passeig Parc del Riu,3,,,,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,5456901DF2755E,C2,329.2,,Terciari,A,250.9,A,59.1,0,0,,NO,NO,NO,,NO,,CALENER VYP,0,0,Nova construcció,0.49,2.1,,,CTE 2006,Edificis acabats,Restauració,,,,,,,,,,,,,,,,,,,,,,,,,,,14/10/2014,,
8SYSTMRC8,Lugar AEROPUERTO JOSEP TARRADELLAS BARCELONA EL PRAT,S/N,,,,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,3125142DF2732E0000OH,C2,481,,Terciario,D,478.83,D,81.73,249.81,38.42,NO,NO,NO,NO,NO,NO,,CE3X,1.8,3.22,Certificación voluntaria,0.49,2.1,,,NBE-CT-79,Edificis existents,Otros,E,36.98,C,5.46,F,12.61,C,26.67,G,214.71,C,32.24,F,74.46,C,157.42,G,140.61,C,27.81,,,,,NO,,10/06/2022,,
F2VC5DL2W,Lugar AEROPUERTO JOSEP TARRADELLAS,S/N,,,,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,11152C8DF2711E0000SF,C2,529,,Terciario,C,135.57,C,22.97,69.38,11,NO,NO,NO,NO,NO,NO,,CE3X,0.73,3.55,"Edificios o partes de edificios (+500 m2) de uso administrativo, sanitario, comercial, docente, restauración...",0.49,2.1,,,CTE 2006,Edificis existents,Otros,C,20.49,A,0,D,0.44,A,2.04,E,120.96,A,0,D,2.59,A,12.02,E,71.56,A,0,,,,,NO,,10/06/2022,,
S0GPL57RM,Avinguda DE L'ESTANY DE LA MESSEGUERA,24,,,,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,7939526DF2773H0001WI,C2,863,,Terciari,A,57.06,A,9.64,125.45,69638.94,SI,NO,NO,NO,NO,NO,,HULC,0.22,2.11,Nova construcció,0.49,2.1,,,CTE 2013,Edificis acabats,Oficines en edifici industrial,A,5.41,B,2.54,B,1.57,A,0.11,A,31.95,B,15.02,B,9.27,A,0.82,C,36.14,C,25.08,,,,,,,18/10/2017,,
J9H19WFTQ,Plaça Orcasitas,9,,,,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,3444314DF2734E,C2,831,,Bloc d'habitatges,D,96.23,D,19.27,72.31,0.71,NO,NO,NO,NO,NO,NO,,CE3X,0.6,3.78,Sol·licitud d'ajuts,0.49,2.1,,,NBE-CT-79,Edificis existents,,D,14.07,A,0,F,5.21,,0,D,71.63,A,0,G,24.6,,0,E,58.74,A,0,,,,,NO,,25/09/2022,,
6NCHQBQHX,Lloc Aeropuerto,S/N,L,OD,OS,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,3125185DF2732E0000SH,C2,1760.08,,Terciari,D,331.9,D,60.28,201.31,42292.91,NO,NO,NO,NO,NO,NO,,CE3X,1.1,3.41,Certificació voluntària,0.49,2.1,,,CTE 2006,Edificis existents,Altres,C,33.68,C,2.48,G,8.45,D,15.35,D,174.9,C,14.62,G,49.88,D,90.64,E,132.59,D,14.75,0.8,,,,NO,,28/09/2017,,
56HNRGWG,Calle Cal Coracero,46,,,,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,7242501DF2774C0001WE,C2,996,,Terciario,C,111.97,B,18.97,57.31,9.09,NO,NO,NO,NO,NO,NO,,CE3X,1.13,3.83,Certificación voluntaria,0.49,2.1,,,Abans de 1979,Edificis existents,Oficinas en edificio industrial,C,10.68,A,0.33,G,1.34,B,6.29,D,63.06,A,1.94,G,7.91,B,37.11,G,85.04,A,2.42,,,,,NO,,19/05/2022,,
6DZPQJN14,Carrer de Cal LLuquer,38,,,,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,7939509DF2773H0002LO,C2,770,,Terciari,B,133.89,B,22.85,69.83,10.75,NO,NO,NO,NO,NO,NO,,CE3X,0.52,3.62,"Edificis o parts d’edificis (+500 m2) amb ús administratiu, sanitari, comercial, docent, restauració",0.49,2.1,,,NRE-AT-87,Edificis existents,Oficines en edifici industrial,A,11.49,B,2.31,G,0.83,C,8.22,B,66.82,B,13.66,G,4.88,C,48.52,E,97.99,C,19.98,,,,,NO,,21/07/2022,,
SM36SP149,Lloc Aeropuerto,S/N,0,40,,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,31251E6DF27320000HH,C2,892.24,,Terciari,C,268.42,C,47.55,153.49,18106.71,NO,NO,NO,NO,NO,NO,,CE3X,1.6,2.9,Certificació voluntària,0.49,2.1,,,CTE 2006,Edificis existents,Altres,B,21.2,C,2.25,G,2.9,D,20.05,B,112.91,C,13.26,G,17.12,D,118.35,E,155.44,D,17.78,0.16,,,,NO,,28/09/2017,,
8RZ6M9JCY,Carrer LLEIDA,130,,,,08020,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4753707DF2745D,C2,4891,,Bloc d'habitatges plurifamiliar,B,34.96,B,7.23,28,211.57,NO,NO,NO,NO,NO,NO,,HULC,0.27,1.75,Nova construcció,0.49,2.1,,,CTE 2013,Edificis acabats,,B,4.86,B,0.71,A,1.65,,,B,22.97,C,4.2,A,7.79,,,C,18.42,C,4.67,0.55,,,,,,05/12/2018,,
PZ1SX955Z,Ronda DEL SUD,267,D,,,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4444303DF2744C0001DF,C2,1123,,Bloc d'habitatges,B,32.32,B,6.61,25.33,0.16,NO,NO,NO,NO,NO,NO,,HULC,0.27,1.8,Nova construcció o gran rehabilitació,0.49,2.1,,,CTE 2013,Edificis acabats,,A,3.29,B,0.95,B,2.37,,,B,15.54,C,5.58,B,11.2,,,B,13.12,D,6.83,,,,,,,05/10/2022,,
SXN6K7PWV,"Calle Josep Tarradellas Barcelona-El Prat Airport, Terminal T2",S/N,,,,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,3125187DF2732E0000UH,C2,11935,,Terciario,E,288.77,E,51.45,167.41,21.62,NO,NO,NO,NO,NO,NO,,CE3X,1.76,3.07,"Edificios o partes de edificios (+500 m2) de uso administrativo, sanitario, comercial, docente, restauración...",0.49,2.1,,,NRE-AT-87,Edificis existents,Otros,E,24.8,F,10.75,G,1.62,C,14.28,F,131.45,F,63.48,G,9.54,C,84.31,G,84.88,E,46.75,,,,,NO,,01/02/2023,,
QG9MFM0VY,Carrer PASSATGE DE MARGARIDA XIRGU,3,,,,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,,C2,4700,,Bloc d'habitatges plurifamiliar,C,,C,,0,0,,NO,NO,NO,,NO,,CE2,0,0,Nova construcció,0.49,2.1,,,CTE 2006,Edificis acabats,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/11/2014,,
S5S72GZ4K,Carrer ANTONI TAPIES,18,,4,2,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4245803DF2744E0067PA,C2,79,,Habitatge individual en bloc d'habitatges,E,108.06,E,25.74,112.95,3.44,SI,NO,NO,NO,NO,NO,,CE3X,0.29,3.37,Sol·licitud d'ajuts,0.49,2.1,,,CTE 2013,Edificis existents,,E,26.13,A,0.04,G,13.54,,0,E,126.36,A,0.24,G,63.96,,0,E,90.41,A,0.22,,,,,NO,,28/12/2022,,
M3TSJ73TY,Lloc Aeropuerto,S/N,0,85,A,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,3125146DF2732E0000XH,C2,13021.71,,Terciari,C,208.62,C,35.34,106.77,220467.28,NO,NO,NO,NO,NO,NO,,CE3X,0.25,2.98,Certificació voluntària,0.49,2.1,,,CTE 2006,Edificis existents,Altres,A,8.51,C,3.6,G,1.15,C,20.42,B,50.22,C,21.23,G,6.79,C,120.52,C,52.92,D,27.69,0.12,,,,NO,,28/09/2017,,
WNXW4T0LT,Avinguda Estany de la messeguera,26,,,,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,7939530DF2773H0001AI,C2,1050,,Terciari,A,46.28,A,7.84,28.26,4.48,NO,NO,NO,NO,NO,NO,,CYPE,0.2,1.67,Nova construcció,0.49,2.1,,,CTE 2013,Edificis acabats,Oficines en edifici industrial,A,0.57,A,1.61,A,0.84,B,7.69,A,3.36,A,9.48,A,4.94,B,45.37,A,3.94,C,20.84,,,,,,,08/02/2021,,
5HRQ3NGX6,Lugar AEROPUERTO JOSEP TARRADELLAS BARCELONA-EL PRAT,S/N,,,,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,3125132DF2732E0000GH,C2,2889,,Terciario,C,220.88,C,37.42,113.04,17.92,NO,NO,NO,NO,NO,NO,,CE3X,0.73,3.4,Certificación voluntaria,0.49,2.1,,,CTE 2006,Edificis existents,Cultural,B,26.98,E,1.48,F,0.99,C,7.96,C,159.29,E,8.72,F,5.86,C,47.01,D,115.19,F,8.07,,,,,NO,,18/06/2022,,
SW3Y63MG1,Carrer D'ERNEST LLUCH,13,A,,,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,,C2,1455,,Bloc d'habitatges plurifamiliar,B,30.23,B,6.14,23.41,0.11,NO,NO,NO,NO,NO,NO,,HULC,0.28,1.84,Nova construcció,0.49,2.1,,,CTE 2013,Edificis acabats,,B,3.3,C,1.03,A,1.81,,,B,15.59,C,6.09,A,8.55,,,B,12.25,C,5.95,,,,,,,04/03/2020,,
289D9YH9,Lloc AEROPUERTO - CARGOPARC. EDIFICI CLASA,S/N,,2,01,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,3125146DF2732E0000XH,C2,175,,Terciari,C,58.33,C,14.5,0,0,,NO,NO,NO,,NO,,CE3X,0,0,Altres (cap de les anteriores opcions),0.49,2.1,,,CTE 2006,Edificis existents,Oficines,E,23.04,C,1.53,G,5.7,,0,E,108.81,D,9.04,G,26.93,,0,E,84.12,D,9.26,,,,,,,19/11/2015,,
KY1LHMV67,Carrer Riu Anoia,42,,,,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,3343212DF2734C,C2,4732,,Terciari,A,101.55,A,15.65,130.37,12.53,SI,NO,NO,NO,NO,SI,,HULC,0.32,2.08,Nova construcció o gran rehabilitació,0.49,2.1,,,CTE 2013,Edificis acabats,Esportiu,A,7.64,B,3.11,B,2.74,B,7.4,A,45.12,B,18.36,B,16.15,B,52.84,C,61.05,C,36.21,,,,,,,27/09/2023,,
9463FYQPG,Carrer Pintor Isidre Nonell,43,,,,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4460422DF2746A0001MU,C2,100,,Habitatge unifamiliar,D,138.19,D,28.29,108.56,7.72,NO,NO,NO,NO,NO,NO,,CE3X,0.47,1.66,Certificació voluntària,0.49,2.1,,,CTE 2013,Edificis existents,,D,24.39,A,0.01,C,3.89,,0,E,115.16,A,0.05,D,22.98,,0,E,89.03,A,0.05,,,,,NO,,11/06/2021,,
Q44HBHZ18,Carrer Cal Coracero,22,,,,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,7645901DF2774F0003EO,C2,1121,,Terciari,D,199.25,D,49.54,61.2,10878.87,,NO,NO,NO,,NO,,CE3X,0.31,3.78,Compra o Venda,0.49,2.1,,,NRE-AT-87,Edificis existents,Oficines en edifici industrial,E,28.65,B,0.69,D,3.69,,0,E,135.27,C,4.07,E,17.43,,0,F,104.58,C,4.16,,,,,,,07/10/2015,,
6JVTP652G,Lugar AEROPUERTO JOSEP TARRADELLAS CARCELONA-EL PRAT,S/N,,,,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,3125136DF2732E0000TH,C2,1800,,Terciario,E,248.58,D,42.11,127.21,20.17,NO,NO,NO,NO,NO,NO,,CE3X,1.8,5.7,"Edificios o partes de edificios (+500 m2) de uso administrativo, sanitario, comercial, docente, restauración...",0.49,2.1,,,NBE-CT-79,Edificis existents,Otros,D,20.91,A,0,F,14.1,C,7.1,F,123.41,A,0,F,83.24,C,41.92,F,82.61,A,0,,,,,NO,,10/06/2022,,
D405FCS29,Lloc Aeropuerto,S/N,B,OD,OS,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,125194DF2732E0000BH,C2,1333.01,,Terciari,D,252.59,C,43.16,132.17,70627.1,NO,NO,NO,NO,NO,NO,,CE3X,1.6,2.9,Certificació voluntària,0.49,2.1,,,CTE 2006,Edificis existents,Altres,B,13.28,C,3.01,G,2.84,E,23.45,C,76.17,C,17.76,G,16.77,E,138.41,E,87.68,D,18.89,0.1,,,,NO,,28/09/2017,,
WBTX4RL8M,Lugar AEROPUERTO JOSEP TARRADELLAS BARCELONA-EL PRAT,S/N,,,,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,3125134DF2732E0000PH,C2,1490,,Terciario,D,414.12,D,73.84,240.53,30.97,NO,NO,NO,NO,NO,NO,,CE3X,1.8,3.19,"Edificios o partes de edificios (+500 m2) de uso administrativo, sanitario, comercial, docente, restauración...",0.49,2.1,,,NBE-CT-79,Edificis existents,Oficinas,D,22.5,C,8.72,F,18.43,C,24.19,F,132.85,C,51.46,E,87.02,C,142.79,F,78.12,C,39.42,,,,,NO,,11/06/2022,,
5YPW18SWL,Lugar AEROPUERTO JOSEP TARRADELLAS BARCELONA-EL PRAT,S/N,,,,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,3125193DF2732E0000AH,C2,4127,,Terciario,E,199.58,D,33.81,102.14,16.2,NO,NO,NO,NO,NO,NO,,CE3X,2.38,3.59,"Edificios o partes de edificios (+500 m2) de uso administrativo, sanitario, comercial, docente, restauración...",0.49,2.1,,,Abans de 1979,Edificis existents,Oficinas,D,25.89,A,0,F,1.29,C,6.63,F,152.84,A,0,F,7.62,C,39.12,F,90.42,A,0,,,,,NO,,11/06/2022,,
X7CDDMV2S,Carrer CARRETERA DE LA PLATJA,8,A,4,1,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4546103DF2744F0047KY,C2,79,,Habitatge individual en bloc d'habitatges,E,140.94,E,29.61,116.58,7.33,NO,NO,NO,NO,NO,NO,,CE3X,1.37,3.44,Compravenda,0.49,2.1,,,CTE 2013,Edificis existents,,E,19.59,B,0.96,G,9.06,,0,E,92.51,C,5.66,G,42.77,,0,E,60.01,C,5.18,,,,,NO,,26/06/2023,,
RBTPN0N2X,Polígon PARCELA 22. ZAL-PRAT PORT DE BARCELONA,1,,,,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,7939525DF2773H0001HI,C2,5723,,Terciari,C,136.87,C,23.18,70.04,11.11,SI,NO,NO,NO,NO,NO,,CE3X,0.41,2.89,Sol·licitud d'ajuts,0.49,2.1,,,CTE 2006,Edificis existents acabats,Oficines,A,6.44,A,0,G,1.64,A,3.16,B,38.02,A,0,G,9.68,A,18.63,D,52.54,A,0,,,,,SI,"Instal.lació de Fotovoltaica, substitució enllumenat i sistema de monitoratge icontrol",28/03/2023,,
TRQ9BFBZL,Carrer DEL SUD,243,,,,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,,C2,1102,,Bloc d'habitatges,B,31.41,B,6.44,24.77,0.16,NO,NO,NO,NO,NO,NO,,HULC,0.27,1.82,Nova construcció o gran rehabilitació,0.49,2.1,,,CTE 2019,Edificis acabats,,A,3.18,B,0.84,B,2.42,,,B,15.03,C,4.96,C,11.42,,,B,12.22,C,5.08,,,,,,,10/03/2023,,
4MLTV4WJH,Lugar AEROPUERTO JOSEP TARRADELLAS BARCELONA-EL PRAT,S/N,,,,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,31251A0DF2732E0001PJ,C2,1062,,Terciario,D,205.43,D,34.8,105.13,16.67,NO,NO,NO,NO,NO,NO,,CE3X,0.73,3.15,"Edificios o partes de edificios (+500 m2) de uso administrativo, sanitario, comercial, docente, restauración...",0.49,2.1,,,CTE 2006,Edificis existents,Otros,C,11.74,E,6.48,E,1.1,C,15.48,E,69.29,E,38.23,E,6.52,C,91.39,E,41.77,D,25.34,,,,,NO,,13/06/2022,,
